Glob_sevanje_mean,Hitrost_vetra_max,Hitrost_vetra_mean,Vlaga_max,Vlaga_mean,Temperatura_lokacija_max,O3,mesec,Glob_sevanje_spr,Vlaga_spr,Temperatura_lokacija_spr
95,2.2,1.475,66.5,54,27,VISOKA,7,459,34.6,6
92.375,2.6,1.5875,58.9,53.0875,27.8,VISOKA,8,446,18.2,6.4
91.875,2.3,1.6625,70.1,65.275,27.6,EKSTREMNA,8,442,13.6,5.8
91,2.8,1.875,62.4,56.1875,29.6,EKSTREMNA,8,440,17.9,7.7
85,2.2,1.9,71.3,65.7,29.2,EKSTREMNA,8,410,21.7,6.3
84.5,3.2,1.8375,62.6,56.2875,32.1,EKSTREMNA,8,409,29.7,9
80.875,2.7,1.85,66,62.4375,28.2,EKSTREMNA,8,395,10.5,4.5
81.125,2.5,1.8625,59.7,53.85,28.7,VISOKA,8,390,13.4,4.9
83.875,3.3,2.3,62.8,43.975,33.9,VISOKA,8,422,38.9,9.6
33.625,3.1,1.9,63.7,55.025,28,SREDNJA,8,129,16.8,1.6
64.625,5.9,2.7375,74.9,51.95,27.1,SREDNJA,8,375,32.1,2.4
85.375,3.5,2.3,50.3,44.6,25.6,VISOKA,8,423,15,3.1
83.875,2.4,1.9375,54.3,44.9625,27.9,VISOKA,8,418,24.3,7.4
77,2.5,1.6375,59.8,49.7125,27.4,VISOKA,8,385,26.6,7.4
24.5,5,3.1125,52.8,47.55,24.6,SREDNJA,8,125,14.2,1.3
82.125,4.1,2.6375,48.7,43.0125,24.1,SREDNJA,8,412,15.8,3.3
82.25,2.6,1.85,56.8,48.6375,24.5,VISOKA,8,416,28,7.5
80.75,2.8,2.0125,57.5,50.8875,26.2,VISOKA,8,408,22.3,8.3
75.375,2.9,1.95,68.8,57.25,24.3,VISOKA,8,380,17.5,5.2
75.4625,2.8,2.1625,65.4,58.95,26.4,VISOKA,8,382.9,28,7.7
7.05,8.5,4.4,73.3,62.25,24,SREDNJA,8,37.8,38,4.4
72.875,3,2.2625,39.3,37.5625,24.3,SREDNJA,8,373,6.7,2.9
68.625,2.8,1.975,59.2,48.05,24.7,VISOKA,8,358,21.9,4.9
68.125,2.2,1.6625,62.4,56.5375,25.4,VISOKA,8,347,23.7,7.3
67.7125,4.9,2.1125,73.9,68.35,24.4,VISOKA,8,354.9,22.2,4.4
47.75,2.5,1.7875,83.2,78.625,20.3,SREDNJA,8,255,12.7,3
64.5,2.5,1.6375,83.9,79.625,22.2,SREDNJA,8,359,14.9,4
59.375,2.6,1.7875,70.1,64.275,22.5,SREDNJA,8,369,23.8,5.3
47.5,2.7,2.025,70.1,60.9375,22.6,VISOKA,8,194,33.1,6.7
64.625,2.7,1.8625,65.6,56.7375,22.6,VISOKA,8,343,23.9,6.2
34.375,2.4,1.8,73.6,69.6125,20.3,SREDNJA,9,194,7.59999999999999,3.5
19.875,2.7,2,66,53.4625,22.9,SREDNJA,9,110,19.5,3
61.625,2.4,1.875,76.1,71.0625,22.9,VISOKA,9,334,13.8,5.6
62.375,2.7,1.7625,71.8,66.1,23.6,SREDNJA,9,337,19.7,5.8
60.125,2.4,1.575,82.8,78.775,23.6,SREDNJA,9,328,18.2,4.9
57.375,2.6,1.8,71,63.9375,24.2,SREDNJA,9,315,19.9,5.6
56,2.4,1.3625,74.4,69.7375,23,VISOKA,9,310,15.1,4.7
43.375,2.4,1.6125,68.3,64.775,23.6,SREDNJA,9,252,10.7,4.4
27.8375,6.5,4.35,66.3,59.5,25.3,SREDNJA,9,177.9,13,2.2
39.225,2.1,1.6625,64.5,59.075,22.7,SREDNJA,9,157.6,9.8,2.6
24.725,3.8,2.55,89.7,74.475,19.3,SREDNJA,9,151.6,34.3,1.4
16.625,2.4,1.7,80.6,74.1875,16.5,SREDNJA,9,97,17.3,2.6
57.625,2.4,1.7375,70,64.775,19,SREDNJA,9,323,18.5,5.1
35,2,1.7125,77.2,74.4,18.5,VISOKA,9,222,11.1,3.5
26.375,2.8,2.0875,73,69.5625,21,SREDNJA,9,161,5.2,2.6
40.5,2.8,1.7875,85,80.2875,19,SREDNJA,9,297,14.2,3.4
2.775,14.5,5.25,86.1,77.125,20.2,SREDNJA,9,14.4,15.1,5
43.9625,2.6,2.075,66.8,61.8,17,SREDNJA,9,240.9,17.6,4.9
22.875,2.4,1.65,71.5,67.35,19.8,SREDNJA,9,152,6.5,1.2
27.9,1.9,1.32857142857143,66.1,61.8142857142857,18.2,SREDNJA,9,149.2,8.8,2.4
43.5875,2.2,1.825,78.7,74.5125,19.4,SREDNJA,9,266.9,18.7,4.5
20.25,1.7,1.15,60.7,57.15,18.8,SREDNJA,9,102,7.5,2.2
40.5,2.2,1.9625,80.5,78.0125,18.8,SREDNJA,9,250,14.5,4.1
34.625,2.7,2.0875,82,79.4125,17.9,VISOKA,9,217,8.7,3.7
22.875,1.9,1.3875,81.8,76.9625,19.9,VISOKA,9,140,9.8,3.4
39.425,2.1,1.6,78.1,69.5125,21.5,SREDNJA,9,242.8,19,2.6
13.025,1.7,1.4125,68.8,65.2625,20.8,SREDNJA,9,93.6,8.59999999999999,1.1
14.55,2,1.45,77.4,73.6125,21.4,SREDNJA,9,92.8,8.5,1.4
11.5,4.2,2.5375,74,72.0375,21.8,SREDNJA,9,72.5,4.90000000000001,0.600000000000001
6.075,3.7,3.025,64.8,60.925,15.3,SREDNJA,9,30.8,7,1.4
30.25,3,2.2875,60.5,57.675,16,SREDNJA,10,178,10.2,2
36,2.1,1.5875,79.1,70.8,15.9,SREDNJA,10,230,28.2,4.4
36.5,2.9,2.1875,48.4,43.8,14,SREDNJA,10,241,7.3,1.1
26.875,2,1.75,47.2,44.125,11.6,SREDNJA,10,151,7.90000000000001,1.7
6.8,2.2,1.5625,69,65.7,14.3,SREDNJA,10,46.8,5.4,1.5
3.075,0.9,0.8,92.7,87.3875,15.9,SREDNJA,10,19.8,12.4,1
7.975,2.3,1.55,78.3,63.575,16.9,SREDNJA,10,50.9,26.1,2.1
5.775,3.5,2.4875,69.1,64.6,16.1,SREDNJA,10,29.6,8.59999999999999,0.900000000000002
11.4,2.2,1.7,90.6,89.3875,14.9,SREDNJA,10,66.6,2.5,1.1
7.45,2.3,1.4,90.6,85.2375,16.6,SREDNJA,10,51.8,8.59999999999999,1
3.35,5.5,3.8,75.8,66.1625,20.1,SREDNJA,10,18.9,16.5,6.2
2.875,2.3,1.625,86.8,76.3375,13.2,SREDNJA,10,20,25.8,3.6
16,2.3,1.925,91.1,89.475,13.7,SREDNJA,10,107,4.89999999999999,2.9
16.625,2,1.525,90.1,85.1375,12.8,SREDNJA,10,102,10.1,2.2
6.375,2,1.4375,81.6,78.4875,14.9,SREDNJA,10,47.5,4.5,0.800000000000001
13.05,2,1.125,89.7,83.625,15.9,SREDNJA,10,100.7,10.7,0.9
21.125,3.1,2.425,70.3,66.8875,12,SREDNJA,10,153,6.3,3.1
20.375,2.2,1.4375,89.8,81.6375,11.8,SREDNJA,10,148,11.3,2.3
15.85,2.3,1.8375,89.2,85.0875,12.2,SREDNJA,10,113.9,12.3,1.6
7.175,1.6,1.0875,90.7,87.3,16.3,SREDNJA,10,46.7,10.7,1.5
3.2,6.1,2.1625,82.7,77.9625,18.5,SREDNJA,10,23.3,10,0.800000000000001
2.575,1,0.6875,84.3,82.8625,18.1,SREDNJA,10,16.3,2.89999999999999,0.5
10.55,2.2,1.8,82.4,79.6625,19.1,SREDNJA,10,78.7,7.2,2.3
5.075,3,1.4375,92.1,88.325,18.5,SREDNJA,10,35.8,9.5,1.4
7.525,2.1,1.3375,92.4,91.2125,17.4,SREDNJA,10,51.6,2.90000000000001,1.4
3.175,1.5,1.15,94.1,90.975,17.2,SREDNJA,10,24.2,5.69999999999999,0.699999999999999
7.9,2,1.3,93,91.9,17.1,SREDNJA,10,57.6,4,0.700000000000003
6.6,3.8,2.625,74.7,72.5,20.5,SREDNJA,10,49.9,4.60000000000001,0.800000000000001
6.75,3.2,2.425,72.7,70.5625,20.3,SREDNJA,10,49,3.90000000000001,1.1
13,2.7,1.65,85,80.425,18.7,SREDNJA,10,98,8.90000000000001,3.8
13.75,2.9,2.2,47.9,46.9,15.4,SREDNJA,10,107,3.4,1.2
